INPUT_TABLE,,,,,
Variable ID,,,,,
StubTechElecMarket,,,,,
,,,,,
region,supplysector,subsector,stub.technology,year,electric.sector.market
MI,electricity,offshore wind,offshore wind usa,2005,Central East grid
MI,electricity,offshore wind,offshore wind usa,2010,Central East grid
MI,electricity,offshore wind,offshore wind usa,2015,Central East grid
MI,electricity,offshore wind,offshore wind usa,2020,Central East grid
MI,electricity,offshore wind,offshore wind usa,2025,Central East grid
MI,electricity,offshore wind,offshore wind usa,2030,Central East grid
MI,electricity,offshore wind,offshore wind usa,2035,Central East grid
MI,electricity,offshore wind,offshore wind usa,2040,Central East grid
MI,electricity,offshore wind,offshore wind usa,2045,Central East grid
MI,electricity,offshore wind,offshore wind usa,2050,Central East grid
MI,electricity,offshore wind,offshore wind usa,2055,Central East grid
MI,electricity,offshore wind,offshore wind usa,2060,Central East grid
MI,electricity,offshore wind,offshore wind usa,2065,Central East grid
MI,electricity,offshore wind,offshore wind usa,2070,Central East grid
MI,electricity,offshore wind,offshore wind usa,2075,Central East grid
MI,electricity,offshore wind,offshore wind usa,2080,Central East grid
MI,electricity,offshore wind,offshore wind usa,2085,Central East grid
MI,electricity,offshore wind,offshore wind usa,2090,Central East grid
MI,electricity,offshore wind,offshore wind usa,2095,Central East grid
MI,electricity,offshore wind,offshore wind usa,2100,Central East grid
MN,electricity,offshore wind,offshore wind usa,1975,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,1990,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,2005,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,2010,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,2015,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,2020,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,2025,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,2030,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,2035,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,2040,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,2045,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,2050,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,2055,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,2060,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,2065,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,2070,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,2075,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,2080,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,2085,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,2090,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,2095,Central Northwest grid
MN,electricity,offshore wind,offshore wind usa,2100,Central Northwest grid
NC,electricity,offshore wind,offshore wind usa,1975,Southeast grid
